date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,25,DISCOTEKA (feat. Locura Mix),The La Planta & BM & Alejo Isakk,5w7RsSgxxBwdVTSyQDj8Bi,77,204480,0,64rUVVmLA2xspGjE2nt6dx,2023-02-16,"cumbia, rkt, cuarteto, turreo",cumbia
2023-05-18,26,Hey Mor,Ozuna,1zsPaEkglFvxjAhrM8yhpr,91,196600,0,1kjfMVBNhsDeRyAu9zbLfF,2022-10-07,"reggaeton, trap latino, latin, urbano latino",reggaeton
2023-05-18,27,AL BORDE,Milo j,3eOkhJYDaTELGhWHBNbf4A,79,148321,1,10vvdzSUQmL6hYsoPDhG3X,2023-04-13,argentine trap,argentine trap
2023-05-18,28,Amanecemos,La Joaqui & Alan Gomez,4L6PEEISI0EWoKh8Wwtvuh,77,198183,1,3ybnP0l2GS9XlLOIoYGvPg,2023-03-16,"rkt, turreo",rkt
2023-05-18,29,Muñecas,"TINI, La Joaqui, Steve Aoki",4yPmTUkWmUfLPQLCccp0DR,77,156318,0,3HWlgRjxW0H7fWm1n2LBbE,2023-02-16,latin pop,latin pop
2023-05-18,30,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,81,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-18,31,Normal,Feid,0T2pB7P1VdXPhLdQZ488uH,87,171880,1,7pijRxgRaBirPz6wDaJIp9,2022-09-14,"reggaeton, urbano latino",reggaeton
2023-05-18,32,Te Escapas De Mis Brazos (Remix),ECKO & Callejero Fino & El Perro,6Vp8EcHAHjC9u7Qnsn2kob,78,217826,0,7z6DWyWrMQPPCGs5H0IU67,2023-03-02,"rkt, turreo, argentine trap, trap",rkt
2023-05-18,33,CHORRITO PA LAS ANIMAS,Feid,0CYTGMBYkwUxrj1MWDLrC5,91,168133,1,31L7J7AO993tSBxAunoeoa,2022-12-02,"reggaeton, urbano latino",reggaeton
2023-05-18,34,Marisola - Remix,Cris Mj & Duki & Nicki Nicole,77Yo8Ckvmb5vr7NW9UtgCZ,87,237473,1,5S8YipnDPn0kgWfoH4PlPw,2022-12-15,"reggaeton chileno, chilean trap, chilean mambo, reggaeton",reggaeton chileno
2023-05-18,35,La Bachata,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,86,162637,0,7ubO2LZJZFpyhiWMZkRwcH,2023-03-17,"reggaeton, pop urbano, latin, colombian pop",reggaeton
2023-05-18,36,PUNTO G,Quevedo,1fcP2ZJG2ouG99iU2nI6HT,86,151324,0,7menGlTCTcVnCbUMKRgu3Z,2023-01-20,unknown,unknown
2023-05-18,37,Milagrosa,Milo j,1hjuyLGlU1jGsg23DFTJNd,82,140288,1,3bc3UpEEXFx29ZflJQ8hZm,2022-08-16,argentine trap,argentine trap
2023-05-18,38,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,4nrPB8O7Y7wsOCJdgXkthe,95,214945,0,1gi2iwr1l8IUyHYHxi01pg,2023-01-11,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-18,39,aPoLLo13,Duki,0g38LwEQ9i0wjNdgxMTTr2,78,160547,1,26nUVuonXEdbJTo9PeBYoR,2023-05-03,"argentine trap, trap, trap latino",argentine trap
2023-05-18,40,ARRANCARMELO,WOS,2x8oBuYaObjqHqgGuIUZ0b,80,183547,0,4KFUPud6oSm5IgLwnGkzPt,2022-04-06,argentine trap,argentine trap
2023-05-18,41,Niña Bonita,"Feid, Sean Paul",4VPoFy002PwspvctfYP6zx,88,187653,0,16ScBmKm5WA3RwvTqiQlJd,2023-04-21,"reggaeton, urbano latino",reggaeton
2023-05-18,42,qué le pasa conmigo?,"Nicki Nicole, Rels B",0RD94y2DlYTzEePb4WuVbU,84,167251,0,0pWzIntouGCOZzQsSW6xYc,2023-04-19,argentine trap,argentine trap
2023-05-18,43,Coco Chanel,Eladio Carrion,0PB0O24JqAuNdOAFVJljMS,92,208125,1,6BGN5CVd7koJApotl5Bj8u,2023-03-17,"trap latino, urbano latino, trap",trap latino
2023-05-18,44,Azote - Remix,Lolo OG & Callejero Fino & Alejo Isakk,6862W0OJNwhytsXSpCQZ5k,75,226821,1,7uFvIYuaRywnVcpPKYNd5y,2023-03-08,"rkt, turreo, guaracha",rkt
2023-05-18,45,Vida Gangster,Lauty Gram,4I4FFtKZLtyqw4he9pPtL7,81,170058,1,0cWDantlEEkAwu9Z0gAiMX,2022-12-08,"rkt, turreo, guaracha",rkt
2023-05-18,46,Lisa,Young Miko,44FzVABpR2cciquTqADA0D,86,159306,1,2jy7QlJB9hWgYsajBv4IOt,2023-03-03,trap latino,trap latino
2023-05-18,47,Uno los Dos,Miranda!,6tjz2ZCL2jmPY1jPsbRk2H,69,215248,0,5QL33hpDp6XBWdNsc0VGUO,2023-04-19,latin pop,latin pop
